image_id,num_bb,confidence,mask_area,num_fragments,is_fragmented
000000.png,3,0.985617458820343,4224,1,0
000000.png,3,0.926210343837738,4708,1,0
000000.png,3,0.9139295220375061,1531,1,0
000001.png,3,0.973686695098877,2701,1,0
000001.png,3,0.9166454076766968,5313,1,0
000001.png,3,0.9760571718215942,6341,1,0
000002.png,3,0.9466179609298706,1339,1,0
000002.png,3,0.9052032232284546,5544,1,0
000002.png,3,0.9389213919639587,2227,1,0
000003.png,2,0.8770650029182434,6668,12,1
000003.png,2,0.9287739396095276,2726,1,0
000004.png,2,0.9216422438621521,6231,1,0
000004.png,2,0.9622951745986938,3303,1,0
000005.png,2,0.9550753235816956,4353,1,0
000005.png,2,0.9310187101364136,3895,1,0
000006.png,2,0.9506321549415588,2365,1,0
000006.png,2,0.955816388130188,4515,1,0
000007.png,1,0.9601516127586365,5179,1,0
000008.png,1,0.9498226642608643,4910,1,0
000009.png,1,0.9220231175422668,3313,1,0
000025.png,1,0.729859471321106,258,1,0
000026.png,1,0.7407768368721008,215,1,0
000027.png,1,0.8198354244232178,236,1,0
000028.png,1,0.7651567459106445,206,1,0
000029.png,1,0.8551741242408752,199,1,0
000030.png,1,0.8985823392868042,239,1,0
000031.png,1,0.9096357226371765,264,1,0
000032.png,1,0.8495269417762756,263,1,0
000033.png,2,0.8225926756858826,270,1,0
000033.png,2,0.8774318695068359,269,1,0
000034.png,2,0.7373297214508057,226,1,0
000034.png,2,0.8815701603889465,268,1,0
000035.png,2,0.8139649033546448,281,1,0
000035.png,2,0.8809253573417664,276,1,0
000036.png,2,0.806965172290802,287,1,0
000036.png,2,0.8694890737533569,284,1,0
000037.png,2,0.7499251365661621,247,1,0
000037.png,2,0.8677073121070862,310,1,0
000038.png,2,0.7611668109893799,282,1,0
000038.png,2,0.8241147398948669,313,1,0
000039.png,2,0.8170403242111206,333,1,0
000039.png,2,0.8402330875396729,419,1,0
000040.png,2,0.8736788630485535,316,1,0
000040.png,2,0.864067792892456,390,1,0
000041.png,2,0.8817842602729797,321,1,0
000041.png,2,0.8714349865913391,404,1,0
000042.png,2,0.9157440662384033,411,1,0
000042.png,2,0.9083738327026367,381,1,0
000043.png,2,0.8776384592056274,390,1,0
000043.png,2,0.8832358121871948,370,1,0
000044.png,2,0.8653771281242371,363,1,0
000044.png,2,0.8778493404388428,576,1,0
000045.png,2,0.8992646932601929,473,1,0
000045.png,2,0.9040187001228333,413,1,0
000046.png,2,0.8914084434509277,523,1,0
000046.png,2,0.8831228613853455,432,1,0
000047.png,2,0.9045902490615845,588,1,0
000047.png,2,0.8925603628158569,395,1,0
000048.png,2,0.921409010887146,622,1,0
000048.png,2,0.9277811646461487,452,1,0
000049.png,2,0.9132834672927856,671,1,0
000049.png,2,0.9028289914131165,454,1,0
000050.png,2,0.8821817636489868,739,1,0
